Latitude,Longitude,corrected_temperature,SourceFile
37.6965706,-121.77538829999999,27.91,Unit2_dataLog00111.TXT
37.6965672,-121.77543109999999,27.880487,Unit2_dataLog00111.TXT
37.6965711,-121.7755212,27.890974,Unit2_dataLog00111.TXT
37.6965868,-121.77555969999999,27.90193339,Unit2_dataLog00111.TXT
37.6966137,-121.77558789999999,27.89242039,Unit2_dataLog00111.TXT
37.696649,-121.7756064,27.86290739,Unit2_dataLog00111.TXT
37.6966886,-121.77561779999999,27.89339439,Unit2_dataLog00111.TXT
37.6967315,-121.7756251,27.89388139,Unit2_dataLog00111.TXT
37.6967764,-121.77563029999999,27.88437326,Unit2_dataLog00111.TXT
37.696821899999996,-121.77563479999999,27.91486026,Unit2_dataLog00111.TXT
37.6968672,-121.7756395,27.96534726,Unit2_dataLog00111.TXT
37.6969121,-121.7756393,28.02583426,Unit2_dataLog00111.TXT
37.6969545,-121.77563789999999,28.06632126,Unit2_dataLog00111.TXT
37.696995099999995,-121.7756383,28.09680826,Unit2_dataLog00111.TXT
37.697036,-121.7756398,28.07729526,Unit2_dataLog00111.TXT
37.697075999999996,-121.7756404,28.09778226,Unit2_dataLog00111.TXT
37.6971141,-121.77563989999999,28.158269259999997,Unit2_dataLog00111.TXT
37.6971507,-121.7756376,28.158756259999997,Unit2_dataLog00111.TXT
37.697186599999995,-121.77563079999999,28.08924326,Unit2_dataLog00111.TXT
37.6972181,-121.7756091,28.16973026,Unit2_dataLog00111.TXT
37.6972394,-121.77557449999999,28.16021726,Unit2_dataLog00111.TXT
37.6972494,-121.77553479999999,28.180704260000002,Unit2_dataLog00111.TXT
37.6972539,-121.77549459999999,28.17119126,Unit2_dataLog00111.TXT
37.6972576,-121.7754564,28.12167826,Unit2_dataLog00111.TXT
37.6972656,-121.7754204,28.10216526,Unit2_dataLog00111.TXT
37.697282699999995,-121.77538969999999,28.162652259999998,Unit2_dataLog00111.TXT
37.697307699999996,-121.7753683,28.163139259999998,Unit2_dataLog00111.TXT
37.697337999999995,-121.77535879999999,28.20362626,Unit2_dataLog00111.TXT
37.6973645,-121.7753563,28.124113259999998,Unit2_dataLog00111.TXT
37.6974265,-121.7753571,28.06557426,Unit2_dataLog00111.TXT
37.6974612,-121.7753372,28.04654826,Unit2_dataLog00111.TXT
37.6974728,-121.77530829999999,28.06703526,Unit2_dataLog00111.TXT
37.6974792,-121.7752608,28.17752226,Unit2_dataLog00111.TXT
37.6974853,-121.7751964,28.168009259999998,Unit2_dataLog00111.TXT
37.6974933,-121.77511609999999,28.11849626,Unit2_dataLog00111.TXT
37.6975018,-121.7750209,28.19898326,Unit2_dataLog00111.TXT
37.6975103,-121.77491669999999,28.26947026,Unit2_dataLog00111.TXT
37.697517399999995,-121.7748089,28.32995726,Unit2_dataLog00111.TXT
37.6975231,-121.7747028,28.29044426,Unit2_dataLog00111.TXT
37.697528399999996,-121.7746016,28.320931260000002,Unit2_dataLog00111.TXT
37.697533,-121.7745068,28.33141826,Unit2_dataLog00111.TXT
37.6975377,-121.77442479999999,28.281905260000002,Unit2_dataLog00111.TXT
37.697541,-121.77435659999999,28.26239226,Unit2_dataLog00111.TXT
37.697543499999995,-121.77429869999999,28.23287926,Unit2_dataLog00111.TXT
37.6975458,-121.77425059999999,28.25336626,Unit2_dataLog00111.TXT
37.6975481,-121.7742146,28.22385326,Unit2_dataLog00111.TXT
37.697553899999996,-121.77412229999999,28.177267129999997,Unit2_dataLog00111.TXT
37.697564299999996,-121.7740183,27.979442130000002,Unit2_dataLog00111.TXT
37.6975689,-121.77396429999999,28.00992913,Unit2_dataLog00111.TXT
37.697573999999996,-121.7738986,27.980416130000002,Unit2_dataLog00111.TXT
37.6975787,-121.7738303,27.99090313,Unit2_dataLog00111.TXT
37.6975737,-121.77376369999999,28.03139013,Unit2_dataLog00111.TXT
37.6975507,-121.77370379999999,28.00187713,Unit2_dataLog00111.TXT
37.697504599999995,-121.7736568,28.00236413,Unit2_dataLog00111.TXT
37.6974379,-121.77362629999999,27.98285113,Unit2_dataLog00111.TXT
37.6973529,-121.77360929999999,28.05333813,Unit2_dataLog00111.TXT
37.697252999999996,-121.77359519999999,28.11382513,Unit2_dataLog00111.TXT
37.697140499999996,-121.7735802,28.06431213,Unit2_dataLog00111.TXT
37.697018,-121.77356379999999,28.06479913,Unit2_dataLog00111.TXT
37.6968879,-121.77354679999999,28.005291,Unit2_dataLog00111.TXT
